,ghi,dni,dhi,temp_air,wind_speed,mydatetime,myTZtimestamp,Rad1h,TTT,PPPP,FF,Rad1wh,Rad1Energy,mytimestamp,ACSim,CellTempSim,DCSim
2020-11-10 10:00:00+00:00,83.33340000000001,0.0,82.8354045893209,2.72,1.54,2020-11-10 10:00:00.000,2020-11-10 10:00:00,300.0,2.72,102990.0,1.54,83.33340000000001,717.0992403456,1604998800.0,645.812564899192,5.006474200545216,668.3378712188346
2020-11-10 11:00:00+00:00,97.2223,0.0,96.54447291324232,3.42,1.54,2020-11-10 11:00:00.000,2020-11-10 11:00:00,350.0,3.42,102960.0,1.54,97.2223,836.6157804032,1605002400.0,756.788911089819,6.084892058013231,779.7790549290722
2020-11-10 12:00:00+00:00,97.2223,0.0,96.54447291324232,4.02,1.54,2020-11-10 12:00:00.000,2020-11-10 12:00:00,350.0,4.02,102940.0,1.54,97.2223,836.6157804032,1605006000.0,755.0262445555442,6.68489205801323,777.9908809412473
2020-11-10 13:00:00+00:00,86.11118,0.0,85.57943156704152,4.52,1.54,2020-11-10 13:00:00.000,2020-11-10 13:00:00,310.0,4.52,102920.0,1.54,86.11118,741.00254835712,1605009600.0,663.7238952615593,6.882218598917816,686.2713944468044
2020-11-10 14:00:00+00:00,55.555600000000005,0.0,55.334268706364846,4.82,1.54,2020-11-10 14:00:00.000,2020-11-10 14:00:00,200.0,4.82,102910.0,1.54,55.555600000000005,478.06616023040004,1605013200.0,416.1391702388521,6.347357477646738,437.76965305425097
2020-11-10 15:00:00+00:00,22.222240000000003,0.0,22.222240000000003,4.72,1.54,2020-11-10 15:00:00.000,2020-11-10 15:00:00,80.0,4.72,102910.0,1.54,22.222240000000003,191.22646409216,1605016800.0,149.53830188622248,5.333376066218638,170.42832371957329
2020-11-10 16:00:00+00:00,2.7777800000000004,0.0,2.7777800000000004,4.52,1.54,2020-11-10 16:00:00.000,2020-11-10 16:00:00,10.0,4.52,102960.0,1.54,2.7777800000000004,23.90330801152,1605020400.0,-3.0,4.59667200827733,19.563718404396322
2020-11-10 17:00:00+00:00,0.0,0.0,0.0,4.12,1.54,2020-11-10 17:00:00.000,2020-11-10 17:00:00,0.0,4.12,103000.0,1.54,0.0,0.0,1605024000.0,-3.0,4.12,-0.0
2020-11-10 18:00:00+00:00,0.0,0.0,0.0,3.82,1.54,2020-11-10 18:00:00.000,2020-11-10 18:00:00,0.0,3.82,103010.0,1.54,0.0,0.0,1605027600.0,-3.0,3.82,-0.0
2020-11-10 19:00:00+00:00,0.0,0.0,0.0,3.62,1.03,2020-11-10 19:00:00.000,2020-11-10 19:00:00,0.0,3.62,103030.0,1.03,0.0,0.0,1605031200.0,-3.0,3.62,0.0
2020-11-10 20:00:00+00:00,0.0,0.0,0.0,3.72,1.03,2020-11-10 20:00:00.000,2020-11-10 20:00:00,0.0,3.72,103040.0,1.03,0.0,0.0,1605034800.0,-3.0,3.72,-0.0
2020-11-10 21:00:00+00:00,0.0,0.0,0.0,3.52,1.03,2020-11-10 21:00:00.000,2020-11-10 21:00:00,0.0,3.52,103050.0,1.03,0.0,0.0,1605038400.0,-3.0,3.52,0.0
2020-11-10 22:00:00+00:00,0.0,0.0,0.0,3.62,1.54,2020-11-10 22:00:00.000,2020-11-10 22:00:00,0.0,3.62,103060.0,1.54,0.0,0.0,1605042000.0,-3.0,3.62,0.0
2020-11-10 23:00:00+00:00,0.0,0.0,0.0,3.62,1.54,2020-11-10 23:00:00.000,2020-11-10 23:00:00,0.0,3.62,103080.0,1.54,0.0,0.0,1605045600.0,-3.0,3.62,0.0
2020-11-11 00:00:00+00:00,0.0,0.0,0.0,3.62,1.54,2020-11-11 00:00:00.000,2020-11-11 00:00:00,0.0,3.62,103040.0,1.54,0.0,0.0,1605049200.0,-3.0,3.62,0.0
2020-11-11 01:00:00+00:00,0.0,0.0,0.0,3.62,1.54,2020-11-11 01:00:00.000,2020-11-11 01:00:00,0.0,3.62,103050.0,1.54,0.0,0.0,1605052800.0,-3.0,3.62,0.0
2020-11-11 02:00:00+00:00,0.0,0.0,0.0,3.82,1.54,2020-11-11 02:00:00.000,2020-11-11 02:00:00,0.0,3.82,103030.0,1.54,0.0,0.0,1605056400.0,-3.0,3.82,-0.0
2020-11-11 03:00:00+00:00,0.0,0.0,0.0,4.02,1.54,2020-11-11 03:00:00.000,2020-11-11 03:00:00,0.0,4.02,103020.0,1.54,0.0,0.0,1605060000.0,-3.0,4.02,0.0
2020-11-11 04:00:00+00:00,0.0,0.0,0.0,4.12,1.54,2020-11-11 04:00:00.000,2020-11-11 04:00:00,0.0,4.12,103000.0,1.54,0.0,0.0,1605063600.0,-3.0,4.12,-0.0
2020-11-11 05:00:00+00:00,0.0,0.0,0.0,3.92,1.54,2020-11-11 05:00:00.000,2020-11-11 05:00:00,0.0,3.92,102980.0,1.54,0.0,0.0,1605067200.0,-3.0,3.92,0.0
